date,ndvi,soilt_avg,stage
12/20/19,0.039071532,-0.502350394,dormant
12/21/19,0.058819752,-0.578090413,dormant
12/22/19,0.079502104,-0.52159578,dormant
12/23/19,0.100801073,-0.33274196,dormant
12/24/19,0.12239914,-0.081270679,dormant
12/25/19,0.14397879,-0.395093584,dormant
12/26/19,0.165222505,-0.367728297,dormant
12/27/19,0.185812768,0.39232049,dormant
12/28/19,0.205432063,0.806005335,dormant
12/29/19,0.223762873,0.418917751,dormant
12/30/19,0.240487681,0.35185593,dormant
12/31/19,0.25528897,0.392433898,dormant
1/1/20,0.267868333,0.190582053,dormant
1/2/20,0.278144118,0.061965879,dormant
1/3/20,0.286256407,0.771593428,dormant
1/4/20,0.292366055,1.488372819,dormant
1/5/20,0.296633916,0.590657489,dormant
1/6/20,0.299220844,0.070772425,dormant
1/7/20,0.300287695,-0.066787465,dormant
1/8/20,0.299995322,-0.222956324,dormant
1/9/20,0.29850458,-0.838866297,dormant
1/10/20,0.295976323,-0.676738803,dormant
1/11/20,0.292571406,2.325851615,spring growth
1/12/20,0.288450682,5.693917211,spring growth
1/13/20,0.283775007,1.596719122,spring growth
1/14/20,0.278705235,1.300848738,spring growth
1/15/20,0.27340222,1.94389472,spring growth
1/16/20,0.268026817,0.917834298,spring growth
1/17/20,0.262734527,-1.022253259,dormant
1/18/20,0.257620145,-1.961282714,dormant
1/19/20,0.252716358,-1.156043514,dormant
1/20/20,0.24805004,-1.295712455,dormant
1/21/20,0.243648061,-1.493983332,dormant
1/22/20,0.239537293,-1.462663953,dormant
1/23/20,0.235744607,-1.292202218,dormant
1/24/20,0.232296875,-1.078659519,dormant
1/25/20,0.229220969,-0.796653175,dormant
1/26/20,0.226543761,-0.497664754,dormant
1/27/20,0.224292121,-0.508282566,dormant
1/28/20,0.222492922,-0.577060286,dormant
1/29/20,0.221173034,-0.794704898,dormant
1/30/20,0.22035933,-1.149199947,dormant
1/31/20,0.220078681,-1.139878337,dormant
2/1/20,0.220357959,-0.846033319,dormant
2/2/20,0.221220107,-0.804766003,dormant
2/3/20,0.22264351,-0.782414023,dormant
2/4/20,0.224560973,-0.460051759,dormant
2/5/20,0.226901031,-0.277743403,dormant
2/6/20,0.229592217,-0.479268535,dormant
2/7/20,0.232563065,-0.4059189,dormant
2/8/20,0.235742111,-0.663145288,dormant
2/9/20,0.239057888,-0.885060294,dormant
2/10/20,0.242438931,-0.669862413,dormant
2/11/20,0.245813773,-0.512539132,dormant
2/12/20,0.24911095,-0.448137108,dormant
2/13/20,0.252258996,-0.386492952,dormant
2/14/20,0.255186445,-0.530161047,dormant
2/15/20,0.257821831,-0.867553218,dormant
2/16/20,0.260093688,-0.790921434,dormant
2/17/20,0.261930552,-0.733208084,dormant
2/18/20,0.263266139,-0.732523187,dormant
2/19/20,0.264092971,-0.634197299,dormant
2/20/20,0.26446372,-0.801029189,dormant
2/21/20,0.264436694,-1.092785899,dormant
2/22/20,0.264070199,-0.987621768,dormant
2/23/20,0.263422545,-0.814058526,dormant
2/24/20,0.262552037,-0.425634527,dormant
2/25/20,0.261516985,-0.057024542,dormant
2/26/20,0.260375695,0.075696325,dormant
2/27/20,0.259186475,0.176409817,dormant
2/28/20,0.258007633,-0.429452006,dormant
2/29/20,0.256897476,-0.838404481,dormant
3/1/20,0.255914312,-1.240318759,dormant
3/2/20,0.255116448,-0.821232462,dormant
3/3/20,0.254562193,0.866421715,dormant
3/4/20,0.254309853,0.9988657,dormant
3/5/20,0.254414229,0.760646041,dormant
3/6/20,0.25489034,0.334860738,dormant
3/7/20,0.255712509,0.199700451,dormant
3/8/20,0.256851246,0.485411263,dormant
3/9/20,0.258277062,3.038488801,rapid growth
3/10/20,0.259960468,4.930897411,rapid growth
3/11/20,0.261871974,3.826162831,rapid growth
3/12/20,0.263982091,2.743593232,rapid growth
3/13/20,0.26626133,4.270917352,rapid growth
3/14/20,0.268680202,3.29787995,rapid growth
3/15/20,0.271209217,2.327389971,rapid growth
3/16/20,0.273818886,0.884844081,rapid growth
3/17/20,0.276479719,1.517811076,rapid growth
3/18/20,0.279162228,2.713200982,rapid growth
3/19/20,0.281836923,2.525988436,rapid growth
3/20/20,0.284474314,5.901161687,rapid growth
3/21/20,0.28704666,4.198436832,rapid growth
3/22/20,0.289546031,1.370632664,rapid growth
3/23/20,0.291984769,0.663128471,rapid growth
3/24/20,0.294377113,0.921551641,rapid growth
3/25/20,0.296737302,0.803319391,rapid growth
3/26/20,0.299079576,2.072571135,rapid growth
3/27/20,0.301418174,4.669147348,rapid growth
3/28/20,0.303767336,3.334589259,rapid growth
3/29/20,0.306141302,4.086420552,rapid growth
3/30/20,0.30855431,3.694686985,rapid growth
3/31/20,0.3110206,2.967943048,rapid growth
4/1/20,0.313554412,2.713017241,termination
