date,ndvi,soil_t_C,stage
1/12/19,0.149966975,-2.24301885,dormant
1/13/19,0.140228646,-2.362127447,dormant
1/14/19,0.130431391,-2.861736997,dormant
1/15/19,0.120640194,-2.71329759,dormant
1/16/19,0.110920034,-2.368978802,dormant
1/17/19,0.101333951,-2.898093367,dormant
1/18/19,0.091922937,-2.417692486,dormant
1/19/19,0.082705438,-2.312953695,dormant
1/20/19,0.073697784,-2.106447522,dormant
1/21/19,0.064916306,-2.100996876,dormant
1/22/19,0.056377336,-2.099861209,dormant
1/23/19,0.048097204,-1.985168759,dormant
1/24/19,0.040092242,-1.703478718,dormant
1/25/19,0.032378781,-1.689825598,dormant
1/26/19,0.024973152,-2.141616567,dormant
1/27/19,0.017891687,-2.148580297,dormant
1/28/19,0.011150716,-2.187699699,dormant
1/29/19,0.00476657,-2.434621239,dormant
1/30/19,-0.001244418,-1.975483561,dormant
1/31/19,-0.006865918,-2.111740971,dormant
2/1/19,-0.0120816,-2.182994827,dormant
2/2/19,-0.016873252,-2.18381896,dormant
2/3/19,-0.021201364,-1.964926306,dormant
2/4/19,-0.025004631,-1.672337675,dormant
2/5/19,-0.028219705,-1.023497168,dormant
2/6/19,-0.030783242,-0.955815697,dormant
2/7/19,-0.032631895,-0.664660438,dormant
2/8/19,-0.033702318,-0.16672856,dormant
2/9/19,-0.033931165,-1.054036999,dormant
2/10/19,-0.033255089,-1.581489865,dormant
2/11/19,-0.031610745,-1.535940949,dormant
2/12/19,-0.028934786,-1.985008224,dormant
2/13/19,-0.025163866,-1.647335752,dormant
2/14/19,-0.020234639,-1.638274256,dormant
2/15/19,-0.014083759,-1.392293755,dormant
2/16/19,-0.006647879,-1.34935894,dormant
2/17/19,0.002136346,-1.675349855,dormant
2/18/19,0.012321971,-1.582207266,dormant
2/19/19,0.023845319,-1.6455616,dormant
2/20/19,0.036523302,-1.747698689,dormant
2/21/19,0.050161642,-1.602735742,dormant
2/22/19,0.064566063,-1.516173983,dormant
2/23/19,0.079542289,-1.500455761,dormant
2/24/19,0.094896044,-1.413636351,dormant
2/25/19,0.11043305,-1.363650147,dormant
2/26/19,0.125959032,-1.609228198,dormant
2/27/19,0.141279714,-2.045414511,dormant
2/28/19,0.156200818,-1.786948029,dormant
3/1/19,0.170528069,-1.752362474,dormant
3/2/19,0.184067191,-1.659112835,dormant
3/3/19,0.196623906,-1.587685092,dormant
3/4/19,0.208003939,-1.532883231,dormant
3/5/19,0.218013013,-1.552598699,dormant
3/6/19,0.226470229,-1.576617225,dormant
3/7/19,0.233346405,-1.621493721,dormant
3/8/19,0.23876757,-1.64007376,dormant
3/9/19,0.242874287,-1.616662327,dormant
3/10/19,0.245807124,-1.557796065,dormant
3/11/19,0.247706647,-1.484954739,dormant
3/12/19,0.24871342,-1.449851497,dormant
3/13/19,0.24896801,-1.451940918,dormant
3/14/19,0.248610984,-1.386121337,dormant
3/15/19,0.247782906,-0.638476912,dormant
3/16/19,0.246624342,-0.499194447,dormant
3/17/19,0.245275859,-0.813760662,dormant
3/18/19,0.243878023,-1.036380831,dormant
3/19/19,0.242571398,-1.007916435,dormant
3/20/19,0.241496552,-0.822956546,dormant
3/21/19,0.24079405,-0.434870783,dormant
3/22/19,0.240596688,-0.303503577,dormant
3/23/19,0.240949137,-0.485204522,dormant
3/24/19,0.241805918,-0.411728605,dormant
3/25/19,0.243113107,-0.345033153,dormant
3/26/19,0.244816777,-0.562180901,dormant
3/27/19,0.246863006,-0.57301782,dormant
3/28/19,0.249197868,-0.117800697,dormant
3/29/19,0.251767438,0.738238827,dormant
3/30/19,0.254517792,2.39003795,dormant
3/31/19,0.257395005,3.350747442,dormant
4/1/19,0.260345153,0.958725548,dormant
4/2/19,0.263314311,0.442284838,spring growth
4/3/19,0.266248554,1.881733831,spring growth
4/4/19,0.269093958,1.540977732,spring growth
4/5/19,0.271796598,0.667231814,spring growth
4/6/19,0.274302549,2.468863821,spring growth
4/7/19,0.276561392,4.372650878,rapid growth
4/8/19,0.278562468,5.698395904,rapid growth
4/9/19,0.28033579,4.682654794,rapid growth
4/10/19,0.281915183,3.447868125,rapid growth
4/11/19,0.28333447,2.388595915,rapid growth
4/12/19,0.284627477,3.978437837,rapid growth
4/13/19,0.285828026,9.618041134,rapid growth
4/14/19,0.286969943,9.718722518,rapid growth
4/15/19,0.28808705,9.768456793,rapid growth
4/16/19,0.289213174,5.740204668,rapid growth
4/17/19,0.290382136,5.855384048,rapid growth
4/18/19,0.291627763,5.775998211,rapid growth
4/19/19,0.292983877,10.23241641,rapid growth
4/20/19,0.294484303,12.05061119,rapid growth
4/21/19,0.296162865,11.13711621,rapid growth
4/22/19,0.298053387,10.88089825,rapid growth
4/23/19,0.300185167,11.7510787,rapid growth
4/24/19,0.302536171,10.49271585,rapid growth
4/25/19,0.30503185,9.217443641,rapid growth
4/26/19,0.307592737,8.66922555,rapid growth
4/27/19,0.310139363,7.09589618,rapid growth
4/28/19,0.312592262,5.550922807,rapid growth
4/29/19,0.314871966,5.570849276,rapid growth
4/30/19,0.316899007,6.105106608,rapid growth
5/1/19,0.318593918,6.173376258,rapid growth
5/2/19,0.319877232,8.975387669,rapid growth
5/3/19,0.320669479,8.79446818,rapid growth
5/4/19,0.320891194,10.33405353,rapid growth
5/5/19,0.320462909,10.04749324,rapid growth
5/6/19,0.319305155,10.65900447,rapid growth
5/7/19,0.317338466,11.63263847,rapid growth
5/8/19,0.314483374,10.64997659,terminated
