,management,date,year,month,Rs_umolm2sec_mean,Rs_daily_se,NEE_umolm2sec_mean,NEE_daily_se,n_collars,airtempC_mean,soilm_perc_mean,spad_mean,NDVI_mean,current_crop,current_plant_date,current_harvest_date,in_season,crop_type,tillage_event,last_tillage,days_since_tillage,fertilizer_event,last_fertilizer,days_since_fertilizer,herbicide_event,last_herbicide,days_since_herbicide,last_harvest,last_harvest_same_crop,days_since_last_harvest_same_crop,days_since_planting,days_to_harvest,days_since_season_end_harvest,days_since_last_harvest,crop_stage,crop_stage_simple
34,conventional,8/18/20,2020,8,6.226069444,1.409805401,-2.142081172,1.09536127,5,22.7777,3.38,35.83,0.483,cover crop,7/20/20,NA,1,annual,NA,7/15/20,34,NA,4/4/19,502,NA,5/12/18,829,7/1/20,NA,NA,29,NA,NA,48,seedling,early
35,conventional,8/19/20,2020,8,8.168427931,1.730273666,2.262874163,1.096078536,5,24.444625,2.22125,36.875,0.38625,cover crop,7/20/20,NA,1,annual,NA,7/15/20,35,NA,4/4/19,503,NA,5/12/18,830,7/1/20,NA,NA,30,NA,NA,49,vegetative,vegetative
36,conventional,8/24/20,2020,8,7.267308203,1.621908502,5.171942476,0.825633711,5,27.4447,2.921,25.6,0.222,cover crop,7/20/20,NA,1,annual,NA,7/15/20,40,NA,4/4/19,508,NA,5/12/18,835,7/1/20,NA,NA,35,NA,NA,54,vegetative,vegetative
37,conventional,9/3/20,2020,9,3.150882298,0.417826274,3.301018999,0.424274853,5,24.8334,13.84,NA,0.209,cover crop,7/20/20,NA,1,annual,NA,7/15/20,50,NA,4/4/19,518,NA,5/12/18,845,7/1/20,NA,NA,45,NA,NA,64,vegetative,vegetative
38,conventional,9/8/20,2020,9,2.954082549,0.586059952,2.489734746,0.283825398,5,25.902875,8.8375,NA,0.21,cover crop,7/20/20,NA,1,annual,NA,7/15/20,55,NA,4/4/19,523,NA,5/12/18,850,7/1/20,NA,NA,50,NA,NA,69,vegetative,vegetative
39,conventional,9/15/20,2020,9,0.230159663,0.018724584,0.166362937,0.041263904,5,19.2595,9.05,NA,0.215,cover crop,7/20/20,NA,1,annual,NA,7/15/20,62,NA,4/4/19,530,NA,5/12/18,857,7/1/20,NA,NA,57,NA,NA,76,vegetative,vegetative
40,conventional,9/21/20,2020,9,1.043399035,0.340622816,1.258861256,0.281891201,5,20.139,6.35,NA,0.2075,cover crop,7/20/20,NA,1,annual,NA,7/15/20,68,NA,4/4/19,536,NA,5/12/18,863,7/1/20,NA,NA,63,NA,NA,82,vegetative,vegetative
41,conventional,9/30/20,2020,10,3.151836159,1.144863468,0.889958943,0.31640233,5,20.3891,16.77,NA,0.259,cover crop,7/20/20,NA,1,annual,NA,7/15/20,77,NA,4/4/19,545,NA,5/12/18,872,7/1/20,NA,NA,72,NA,NA,91,flowering,reproductive
42,conventional,10/5/20,2020,10,1.562897999,0.137211393,0.546606151,0.309058704,5,17,12.77,NA,0.286,cover crop,7/20/20,NA,1,annual,NA,7/15/20,82,NA,4/4/19,550,NA,5/12/18,877,7/1/20,NA,NA,77,NA,NA,96,flowering,reproductive
43,conventional,10/20/20,2020,10,1.364832168,0.207386871,-0.029749908,0.305850033,5,19.99975,14.6375,NA,0.32375,cover crop,7/20/20,NA,1,annual,NA,7/15/20,97,NA,4/4/19,565,NA,5/12/18,892,7/1/20,NA,NA,92,NA,NA,111,flowering,reproductive
44,conventional,11/2/20,2020,11,1.097823854,0.543729787,-0.99206532,0.183030725,5,5.3475,19.2625,NA,0.3125,cover crop,7/20/20,NA,1,annual,NA,7/15/20,110,NA,4/4/19,578,NA,5/12/18,905,7/1/20,NA,NA,105,NA,NA,124,seed_production,grain_fill
45,conventional,11/8/20,2020,11,1.555653493,0.118292655,-2.27795895,0.261536906,5,17.96316667,12,NA,0.375,cover crop,7/20/20,NA,1,annual,NA,7/15/20,116,NA,4/4/19,584,NA,5/12/18,911,7/1/20,NA,NA,111,NA,NA,130,seed_production,grain_fill
46,organic,4/15/19,2019,4,0.577489053,0.334017704,0.186830269,0.642473641,5,8.055,25.35,NA,NA,cover crop,10/27/18,NA,1,annual,NA,6/14/18,305,NA,5/20/18,330,NA,NA,NA,10/26/18,NA,NA,170,NA,NA,171,rapid growth,reproductive
47,organic,4/21/19,2019,4,1.909354224,0.181376485,-2.168651716,0.557714279,5,15.444,23.89,NA,NA,cover crop,10/27/18,NA,1,annual,NA,6/14/18,311,NA,5/20/18,336,NA,NA,NA,10/26/18,NA,NA,176,NA,NA,177,rapid growth,reproductive
48,organic,4/29/19,2019,4,1.405842404,0.160804074,-1.260361653,0.54158078,5,12.5,27.09,NA,NA,cover crop,10/27/18,NA,1,annual,NA,6/14/18,319,NA,5/20/18,344,NA,NA,NA,10/26/18,NA,NA,184,NA,NA,185,rapid growth,reproductive
49,organic,5/15/19,2019,5,-0.149819579,0.341386003,0.322478575,0.367522887,5,16.115,25.87,NA,NA,soybean,5/9/19,NA,1,annual,NA,5/9/19,6,NA,5/20/18,360,NA,NA,NA,10/26/18,NA,NA,6,NA,NA,201,emergence,early
50,organic,5/22/19,2019,5,0.919995146,0.687542017,-0.178872611,0.595076355,5,16.998,16.49,NA,NA,soybean,5/9/19,NA,1,annual,NA,5/9/19,13,NA,5/20/18,367,NA,NA,NA,10/26/18,NA,NA,13,NA,NA,208,vegetative,vegetative
51,organic,5/28/19,2019,5,4.448993187,0.450225229,3.212637007,0.861109858,5,18.89,22.5,NA,NA,soybean,5/9/19,NA,1,annual,NA,5/9/19,19,NA,5/20/18,373,NA,NA,NA,10/26/18,NA,NA,19,NA,NA,214,vegetative,vegetative
52,organic,5/30/19,2019,5,4.756680769,0.188036809,1.775791605,0.500551442,5,23.89,19.34,NA,NA,soybean,5/9/19,NA,1,annual,NA,5/9/19,21,NA,5/20/18,375,NA,NA,NA,10/26/18,NA,NA,21,NA,NA,216,vegetative,vegetative
53,organic,6/9/19,2019,6,9.706352059,3.321561285,-0.652298388,1.934710854,5,22.5,12.325,NA,NA,soybean,5/9/19,NA,1,annual,NA,5/9/19,31,NA,5/20/18,385,NA,NA,NA,10/26/18,NA,NA,31,NA,NA,226,vegetative,vegetative
54,organic,6/19/19,2019,6,4.227575374,2.596826236,0.18065652,1.20980075,5,23.33,16.99,NA,NA,soybean,5/9/19,NA,1,annual,NA,5/9/19,41,NA,5/20/18,395,NA,NA,NA,10/26/18,NA,NA,41,NA,NA,236,vegetative,vegetative
55,organic,6/25/19,2019,6,7.196569528,0.329770335,-10.05168443,1.086862823,5,24.725,20.31,NA,NA,soybean,5/9/19,NA,1,annual,NA,5/9/19,47,NA,5/20/18,401,NA,NA,NA,10/26/18,NA,NA,47,NA,NA,242,flowering,reproductive
56,organic,7/2/19,2019,7,10.87713577,3.199189419,-16.24472241,1.159518512,5,25.56,7.24,NA,NA,soybean,5/9/19,NA,1,annual,NA,5/9/19,54,NA,5/20/18,408,NA,NA,NA,10/26/18,NA,NA,54,NA,NA,249,flowering,reproductive
57,organic,7/7/19,2019,7,9.390258202,1.807596101,-9.63648599,4.819663508,5,22.905,16.425,NA,NA,soybean,5/9/19,NA,1,annual,NA,5/9/19,59,NA,5/20/18,413,NA,NA,NA,10/26/18,NA,NA,59,NA,NA,254,pod_development,grain_fill
58,organic,7/15/19,2019,7,11.92084011,2.043815326,-11.22350074,0.704089562,5,28.499,3.76,41.32,0.781,soybean,5/9/19,NA,1,annual,NA,5/9/19,67,NA,5/20/18,421,NA,NA,NA,10/26/18,NA,NA,67,NA,NA,262,pod_development,grain_fill
59,organic,7/18/19,2019,7,12.5484912,2.133490569,-14.01535041,1.127143968,5,31.11,6.4,46.96666667,0.853333333,soybean,5/9/19,NA,1,annual,NA,5/9/19,70,NA,5/20/18,424,NA,NA,NA,10/26/18,NA,NA,70,NA,NA,265,pod_development,grain_fill
60,organic,7/28/19,2019,7,16.02336611,3.492794257,-11.51778856,0.519594869,5,29.613,9.46,38.91,0.843,soybean,5/9/19,NA,1,annual,NA,5/9/19,80,NA,5/20/18,434,NA,NA,NA,10/26/18,NA,NA,80,NA,NA,275,seed_fill,grain_fill
61,organic,8/5/19,2019,8,15.00564998,3.886146032,-6.568967876,2.888775677,5,25.37333333,14,39.48333333,0.851666667,soybean,5/9/19,NA,1,annual,NA,5/9/19,88,NA,5/20/18,442,NA,NA,NA,10/26/18,NA,NA,88,NA,NA,283,seed_fill,grain_fill
62,organic,8/12/19,2019,8,22.01467216,4.942966755,-3.940103037,2.242259082,5,24.16625,6.9,42.3375,NA,soybean,5/9/19,NA,1,annual,NA,5/9/19,95,NA,5/20/18,449,NA,NA,NA,10/26/18,NA,NA,95,NA,NA,290,seed_fill,grain_fill
63,organic,8/20/19,2019,8,26.90348222,9.379874282,-1.928256926,5.042927048,5,26.575,21.05,39.96666667,0.853333333,soybean,5/9/19,NA,1,annual,NA,5/9/19,103,NA,5/20/18,457,NA,NA,NA,10/26/18,NA,NA,103,NA,NA,298,maturity,mature
64,organic,8/27/19,2019,8,24.19798532,9.117475435,-4.802196939,1.292705859,5,25.5,11.22,42.37,0.831,soybean,5/9/19,NA,1,annual,NA,5/9/19,110,NA,5/20/18,464,NA,NA,NA,10/26/18,NA,NA,110,NA,NA,305,maturity,mature
65,organic,9/3/19,2019,9,19.97373575,3.561926938,-12.45062922,3.93073627,5,23.831,12.36,40.2,0.815,soybean,5/9/19,NA,1,annual,NA,5/9/19,117,NA,5/20/18,471,NA,NA,NA,10/26/18,NA,NA,117,NA,NA,312,maturity,mature
66,organic,9/12/19,2019,9,14.30752356,3.242212199,-3.983602466,2.011401613,5,17.57,16.95,20.2625,0.6625,soybean,5/9/19,NA,1,annual,NA,5/9/19,126,NA,5/20/18,480,NA,NA,NA,10/26/18,NA,NA,126,NA,NA,321,senescence,mature
67,organic,9/18/19,2019,9,10.1861852,2.448445622,4.369414252,0.719315493,5,16.25125,10.9875,19.9,0.4975,soybean,5/9/19,NA,1,annual,NA,5/9/19,132,NA,5/20/18,486,NA,NA,NA,10/26/18,NA,NA,132,NA,NA,327,senescence,mature
68,organic,9/25/19,2019,9,6.752995356,1.11398614,4.807824144,0.895111101,5,21.48166667,8.516666667,17.35,0.366666667,soybean,5/9/19,NA,1,annual,NA,5/9/19,139,NA,5/20/18,493,NA,NA,NA,10/26/18,NA,NA,139,NA,NA,334,senescence,mature
69,organic,10/2/19,2019,10,4.677897371,0.418031201,4.483409172,0.368510419,5,9.165,20.4525,17.6,0.315,soybean,5/9/19,NA,1,annual,NA,5/9/19,146,NA,5/20/18,500,NA,NA,NA,10/26/18,NA,NA,146,NA,NA,341,senescence,mature
70,organic,10/7/19,2019,10,5.962503091,0.698615319,6.470364941,0.641609654,5,16.778,23.3,NA,0.281,soybean,5/9/19,NA,1,annual,NA,5/9/19,151,NA,5/20/18,505,NA,NA,NA,10/26/18,NA,NA,151,NA,NA,346,senescence,mature
71,organic,10/14/19,2019,10,2.774415328,0.342249731,2.755625157,0.259849148,5,10.835,16.95,NA,0.218,soybean,5/9/19,NA,1,annual,NA,5/9/19,158,NA,5/20/18,512,NA,NA,NA,10/26/18,NA,NA,158,NA,NA,353,senescence,mature
72,organic,10/23/19,2019,10,2.275092867,0.329047453,2.554125625,0.438056884,5,14.58625,21.6625,NA,0.18875,soybean,5/9/19,NA,1,annual,NA,5/9/19,167,NA,5/20/18,521,NA,NA,NA,10/26/18,NA,NA,167,NA,NA,362,senescence,mature
73,organic,10/28/19,2019,10,2.520818192,0.280275932,2.568741789,0.317059862,5,14.93,22.7625,NA,0.185,soybean,5/9/19,NA,1,annual,NA,5/9/19,172,NA,5/20/18,526,NA,NA,NA,10/26/18,NA,NA,172,NA,NA,367,senescence,mature
74,organic,11/4/19,2019,11,1.438951851,0.141145939,1.606189963,0.131076367,5,12.78,19.84,NA,0.18,soybean,5/9/19,NA,1,annual,NA,5/9/19,179,NA,5/20/18,533,NA,NA,NA,10/26/18,NA,NA,179,NA,NA,374,senescence,mature
75,organic,4/21/20,2020,4,3.184123861,0.598681199,1.707461283,0.556672625,5,5.278,24.3375,NA,0.21375,barley,4/17/20,NA,1,annual,NA,3/29/20,23,NA,5/20/18,702,NA,NA,NA,11/6/19,NA,NA,4,NA,NA,167,tillering,vegetative
76,organic,4/28/20,2020,4,4.207372067,0.357350314,1.450979025,0.700411923,5,14.096875,24.7375,NA,0.27625,barley,4/17/20,NA,1,annual,NA,3/29/20,30,NA,5/20/18,709,NA,NA,NA,11/6/19,NA,NA,11,NA,NA,174,tillering,vegetative
77,organic,5/11/20,2020,5,7.80732896,1.711002725,-0.428097864,1.500280316,5,10.7221,21.83,29.97,0.454,barley,4/17/20,NA,1,annual,NA,3/29/20,43,NA,5/20/18,722,NA,NA,NA,11/6/19,NA,NA,24,NA,NA,187,tillering,vegetative
78,organic,5/19/20,2020,5,8.084284886,0.347820881,-3.76659752,0.223224303,5,20.27783333,13.08333333,34.81666667,0.545,barley,4/17/20,NA,1,annual,NA,3/29/20,51,NA,5/20/18,730,NA,NA,NA,11/6/19,NA,NA,32,NA,NA,195,tillering,vegetative
79,organic,5/25/20,2020,5,11.73758661,1.00930891,-5.518593213,2.001077161,5,27.08325,5.325,38,0.7025,barley,4/17/20,NA,1,annual,NA,3/29/20,57,NA,5/20/18,736,NA,NA,NA,11/6/19,NA,NA,38,NA,NA,201,tillering,vegetative
80,organic,6/7/20,2020,6,10.23149171,0.761688967,-6.240841016,0.603401291,5,23.889,1.133333333,33.76666667,0.573333333,barley,4/17/20,NA,1,annual,NA,3/29/20,70,NA,5/20/18,749,NA,NA,NA,11/6/19,NA,NA,51,NA,NA,214,stem_elongation,reproductive
81,organic,6/15/20,2020,6,10.87060249,0.674216834,-3.720451283,1.616369208,5,24.16683333,1.966666667,33.95,0.508333333,barley,4/17/20,NA,1,annual,NA,3/29/20,78,NA,5/20/18,757,NA,NA,NA,11/6/19,NA,NA,59,NA,NA,222,stem_elongation,reproductive
82,organic,6/22/20,2020,6,7.883432441,0.6299252,0.697653751,0.322576013,5,30.00016667,0.333333333,34.66666667,NA,barley,4/17/20,NA,1,annual,NA,3/29/20,85,NA,5/20/18,764,NA,NA,NA,11/6/19,NA,NA,66,NA,NA,229,stem_elongation,reproductive
83,organic,6/30/20,2020,7,7.309215937,0.983835413,1.947954388,1.760284589,5,24.3055,4.55,21.175,0.29625,barley,4/17/20,NA,1,annual,NA,3/29/20,93,NA,5/20/18,772,NA,NA,NA,11/6/19,NA,NA,74,NA,NA,237,heading,reproductive
84,organic,7/5/20,2020,7,9.41120342,0.963789173,2.505545458,1.589693864,5,28.8334,8.71,25.24,0.238,barley,4/17/20,NA,1,annual,NA,3/29/20,98,NA,5/20/18,777,NA,NA,NA,11/6/19,NA,NA,79,NA,NA,242,heading,reproductive
85,organic,7/14/20,2020,7,7.447139628,0.753012472,0.20777645,1.16693487,5,26.11125,4.6625,28.4625,0.4175,cover crop,4/17/20,NA,1,annual,NA,3/29/20,107,NA,5/20/18,786,NA,NA,NA,7/9/20,NA,NA,88,NA,NA,5,vegetative,vegetative
86,organic,8/5/20,2020,8,8.869170418,0.508666882,-3.798816973,1.187810367,5,24.6667,14.07,34.39,0.64,cover crop,4/17/20,NA,1,annual,NA,3/29/20,129,NA,5/20/18,808,NA,NA,NA,7/9/20,NA,NA,110,NA,NA,27,seed_production,grain_fill
87,organic,8/17/20,2020,8,8.323196822,0.983422811,-2.590900531,1.515571239,5,25.09333333,5.85,34.81666667,0.728333333,cover crop,4/17/20,NA,1,annual,NA,3/29/20,141,NA,5/20/18,820,NA,NA,NA,7/9/20,NA,NA,122,NA,NA,39,mature,mature
88,organic,8/20/20,2020,8,6.165173733,1.005089443,-1.324688848,1.566930809,5,26.875125,2.675,33.825,0.6875,cover crop,4/17/20,NA,1,annual,NA,3/29/20,144,NA,5/20/18,823,NA,NA,NA,7/9/20,NA,NA,125,NA,NA,42,mature,mature
89,organic,8/25/20,2020,8,7.476651586,0.778919861,-1.82540931,3.344949252,5,21.66666667,2.733333333,31.05,0.703333333,cover crop,4/17/20,NA,1,annual,NA,3/29/20,149,NA,5/20/18,828,NA,NA,NA,7/9/20,NA,NA,130,NA,NA,47,mature,mature
90,organic,9/7/20,2020,9,12.26138599,0.31044915,-2.180066148,1.487470611,5,26.2222,12.41,26.74,0.389,cover crop,4/17/20,NA,1,annual,NA,3/29/20,162,NA,5/20/18,841,NA,NA,NA,7/9/20,NA,NA,143,NA,NA,60,mature,mature
91,organic,9/17/20,2020,9,6.843759624,0.356034742,-2.959967518,2.032795929,5,18.749875,8.225,29.7875,0.39375,alfalfa hay,9/16/20,NA,1,perennial,NA,3/29/20,172,NA,5/20/18,851,NA,NA,NA,9/15/20,NA,NA,1,NA,NA,2,germination,early
92,organic,9/20/20,2020,9,2.378706091,0.266130799,1.044691873,0.642351517,5,14.86125,5.825,36.6625,0.3725,alfalfa hay,9/16/20,NA,1,perennial,NA,3/29/20,175,NA,5/20/18,854,NA,NA,NA,9/15/20,NA,NA,4,NA,NA,5,germination,early
93,organic,9/23/20,2020,9,2.835154327,0.481931772,1.231988016,0.973545901,5,22.986125,6.775,34.7,0.33,alfalfa hay,9/16/20,NA,1,perennial,NA,3/29/20,178,NA,5/20/18,857,NA,NA,NA,9/15/20,NA,NA,7,NA,NA,8,germination,early
94,organic,9/29/20,2020,9,3.326588942,0.376242706,2.512575358,1.22210357,5,18.6115,23.025,47.375,0.4125,alfalfa hay,9/16/20,NA,1,perennial,NA,3/29/20,184,NA,5/20/18,863,NA,NA,NA,9/15/20,NA,NA,13,NA,NA,14,seedling,early
95,organic,10/6/20,2020,10,2.022460529,0.336576767,-0.300824308,0.633689588,5,18.98133333,15.83333333,39.66666667,0.371666667,alfalfa hay,9/16/20,NA,1,perennial,NA,3/29/20,191,NA,5/20/18,870,NA,NA,NA,9/15/20,NA,NA,20,NA,NA,21,seedling,early
